ら戳,秨絃计,程蔼计,程计,Μ絃计
99/12/01,8430.6,8520.11,8428.64,8520.11
99/12/02,8598.01,8641.13,8572.65,8585.77
99/12/03,8630.88,8659.62,8618.26,8624.01
99/12/06,8675.45,8718.53,8675.45,8702.23
99/12/07,8716.0,8716.0,8654.49,8704.39
99/12/08,8727.88,8729.7,8683.98,8703.79
99/12/09,8769.34,8782.82,8736.77,8753.84
99/12/10,8740.71,8744.67,8684.05,8718.83
99/12/13,8748.64,8764.51,8736.54,8736.59
99/12/14,8771.9,8789.25,8717.53,8740.43
99/12/15,8755.32,8756.71,8698.41,8756.71
99/12/16,8770.74,8797.98,8767.44,8782.2
99/12/17,8828.05,8860.38,8817.51,8817.9
99/12/20,8861.09,8861.09,8740.3,8768.72
99/12/21,8802.86,8827.79,8772.59,8827.79
99/12/22,8847.27,8865.42,8834.32,8860.49
99/12/23,8891.41,8914.34,8874.87,8898.87
99/12/24,8910.61,8911.41,8861.01,8861.1
99/12/27,8866.67,8908.42,8828.67,8892.31
99/12/28,8919.26,8919.26,8839.83,8870.76
99/12/29,8878.1,8893.14,8844.67,8866.35
99/12/30,8883.21,8920.79,8871.07,8907.91
99/12/31,8936.11,8990.38,8932.64,8972.5
100/01/03,9039.63,9041.32,8994.5,9025.3
100/01/04,9045.11,9046.18,8988.58,8997.19
100/01/05,9014.32,9027.16,8812.36,8846.31
100/01/06,8866.23,8883.21,8813.63,8883.21
100/01/07,8905.25,8907.11,8738.93,8782.72
100/01/10,8798.05,8817.88,8762.5,8817.88
100/01/11,8810.77,8935.27,8794.77,8931.36
100/01/12,8992.01,9000.78,8955.47,8965.0
100/01/13,9034.17,9034.17,8948.23,8975.58
100/01/14,8985.34,8998.14,8937.5,8972.51
100/01/17,8972.51,9006.36,8921.19,8925.09
100/01/18,8925.09,9003.45,8887.03,8988.0
100/01/19,8988.0,9092.28,8988.0,9086.02
100/01/20,9086.02,9086.02,9017.8,9022.17
100/01/21,9022.17,9022.17,8892.27,8954.38
100/01/24,8954.38,8993.56,8927.49,8947.79
100/01/25,8947.79,9032.3,8947.79,8991.39
100/01/26,8991.39,9072.76,8991.39,9055.59
100/01/27,9055.59,9126.93,9055.59,9102.33
100/01/28,9102.33,9154.93,9095.71,9145.35
100/02/08,9220.69,9220.69,9085.41,9111.46
100/02/09,9107.96,9129.88,8992.64,9006.82
100/02/10,8962.07,8979.35,8836.56,8836.56
100/02/11,8842.41,8842.41,8574.65,8609.86
100/02/14,8666.61,8715.97,8626.66,8685.47
100/02/15,8679.12,8753.05,8565.05,8721.93
100/02/16,8740.32,8767.09,8702.81,8712.96
100/02/17,8738.71,8745.65,8669.77,8683.88
100/02/18,8763.69,8874.5,8763.69,8843.84
100/02/21,8867.16,8867.16,8797.25,8839.22
