日期,本益比,殖利率(%),股價淨值比,股利年度,財報年/季
100年01月18日,10.08,4.52,2.09,,
100年01月19日,10.18,4.47,2.11,,
100年01月20日,10.25,4.44,2.12,,
100年01月21日,10.18,4.47,2.11,,
100年01月24日,10.16,4.48,2.11,,
100年01月25日,10.14,4.49,2.1,,
100年01月26日,10.06,4.53,2.08,,
100年01月27日,10.08,4.52,2.09,,
100年01月28日,10.08,4.52,2.09,,
100年02月08日,10.02,4.55,2.08,,
100年02月09日,10.08,4.52,2.09,,
100年02月10日,10.08,4.52,2.09,,
100年02月11日,9.98,4.57,2.07,,
100年02月14日,9.97,4.57,2.07,,
100年02月15日,9.95,4.58,2.06,,
100年02月16日,10.01,4.55,2.08,,
100年02月17日,10.09,4.51,2.09,,
100年02月18日,10.21,4.46,2.12,,
100年02月21日,10.13,4.5,2.1,,
100年02月22日,10.0,4.56,2.07,,
100年02月23日,9.89,4.61,2.05,,
100年02月24日,9.93,4.59,2.06,,
100年02月25日,9.87,4.61,2.05,,
100年03月01日,9.91,4.6,2.05,,
100年03月02日,9.83,4.63,2.04,,
100年03月03日,9.85,4.62,2.04,,
100年03月04日,9.91,4.6,2.05,,
100年03月07日,9.92,4.59,2.06,,
100年03月08日,9.95,4.58,2.06,,
100年03月09日,9.92,4.59,2.06,,
100年03月10日,9.95,4.58,2.06,,
100年03月11日,9.89,4.61,2.05,,
100年03月14日,9.45,4.82,1.96,,
100年03月15日,9.25,4.93,1.92,,
100年03月16日,9.57,4.76,1.98,,
100年03月17日,9.48,4.81,1.96,,
100年03月18日,9.5,4.8,1.97,,
100年03月21日,9.58,4.76,1.99,,
100年03月22日,9.68,4.71,2.01,,
100年03月23日,9.73,4.68,2.02,,
100年03月24日,9.77,4.66,2.03,,
100年03月25日,9.77,4.66,2.03,,
100年03月28日,9.76,4.67,2.02,,
100年03月29日,9.78,4.66,2.03,,
100年03月30日,9.79,4.65,2.03,,
100年03月31日,9.85,4.62,2.04,,
100年04月01日,9.7,4.69,2.01,,
100年04月06日,9.83,4.63,2.04,,
100年04月07日,9.74,4.68,2.02,,
100年04月08日,9.84,4.63,2.04,,
100年04月11日,9.93,4.59,2.06,,
100年04月12日,9.86,4.62,2.04,,
100年04月13日,9.86,4.62,2.04,,
100年04月14日,9.87,4.61,2.05,,
100年04月15日,9.82,4.64,2.03,,
100年04月18日,9.76,4.67,2.02,,
100年04月19日,9.72,4.69,2.01,,
100年04月20日,9.89,4.61,2.05,,
100年04月21日,9.9,4.6,2.05,,
100年04月22日,9.78,4.66,2.03,,
100年04月25日,9.69,4.7,2.01,,
100年04月26日,9.65,4.72,2.0,,
100年04月27日,9.79,4.65,2.03,,
100年04月28日,9.9,4.6,2.05,,
100年04月29日,10.23,4.45,2.06,,
100年05月03日,10.45,4.31,1.95,,
100年05月04日,9.37,4.35,1.93,,
100年05月05日,9.26,4.4,1.9,,
100年05月06日,9.26,4.4,1.9,,
100年05月09日,9.26,4.4,1.9,,
100年05月10日,9.27,4.4,1.91,,
100年05月11日,9.27,4.4,1.91,,
100年05月12日,9.56,4.26,1.97,,
100年05月13日,9.42,4.32,1.94,,
100年05月16日,9.59,4.25,1.97,,
100年05月17日,9.35,4.36,1.92,,
100年05月18日,9.55,4.26,1.96,,
100年05月19日,9.4,4.33,1.93,,
100年05月20日,9.4,4.33,1.93,,
100年05月23日,9.43,4.32,1.94,,
100年05月24日,9.36,4.35,1.93,,
100年05月25日,9.32,6.56,1.92,,
100年05月26日,9.41,6.49,1.94,,
100年05月27日,9.41,6.49,1.94,,
100年05月30日,9.45,6.47,1.94,,
100年05月31日,9.66,6.32,1.99,,
100年06月01日,9.68,6.31,1.99,,
100年06月02日,9.65,6.33,1.99,,
100年06月03日,9.61,6.36,1.98,,
100年06月07日,9.7,6.3,2.0,,
100年06月08日,9.74,6.28,2.0,,
100年06月09日,9.77,6.26,2.01,,
100年06月10日,9.63,6.34,1.98,,
100年06月13日,9.55,6.4,1.96,,
100年06月14日,9.76,6.26,2.01,,
100年06月15日,10.06,6.07,2.07,,
100年06月16日,9.84,6.21,2.02,,
100年06月17日,9.93,6.15,2.04,,
100年06月20日,9.63,6.34,1.98,,
100年06月21日,9.81,6.23,2.02,,
100年06月22日,9.9,6.17,2.04,,
100年06月23日,9.98,6.12,2.05,,
100年06月24日,9.98,6.12,2.05,,
100年06月27日,10.29,5.94,2.12,,
100年06月28日,10.23,5.97,2.11,,
100年06月29日,10.39,5.88,2.14,,
100年06月30日,11.0,5.56,2.26,,
100年07月01日,10.79,5.66,2.22,,
100年07月04日,11.0,5.56,2.26,,
100年07月05日,10.85,5.63,2.23,,
100年07月06日,11.05,5.53,2.27,,
100年07月07日,11.0,5.56,2.26,,
100年07月08日,11.2,5.45,2.3,,
100年07月11日,11.25,5.43,2.31,,
100年07月12日,11.2,5.45,2.3,,
100年07月13日,11.35,5.38,2.34,,
100年07月14日,10.79,5.66,2.22,,
100年07月15日,11.3,5.41,2.33,,
100年07月18日,11.56,5.29,2.38,,
100年07月19日,11.41,5.36,2.35,,
100年07月20日,11.51,5.31,2.37,,
